ART_ID,ART_Name,ART_Genre,ART_Image
149,HGHTS,,https://i.scdn.co/image/ab6761610000e5eb6d0825ed1cb480d29b03e87d
150,Justin Bieber,,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
151,Simply Three,,https://i.scdn.co/image/ab6761610000e5eba4b48f14ee4635a60c5f7df9
152,Katy Perry,,https://i.scdn.co/image/ab6761610000e5eb4be5330bd48527f9dd620663
153,Sara Bareilles,,https://i.scdn.co/image/ab6761610000e5eb83a5e11367a1af10a319a6ac
154,Jon Hopkins,,https://i.scdn.co/image/ab6761610000e5eb3d9a2d89248069107e1a22d0
155,John Williams,,https://i.scdn.co/image/ab6761610000e5eb86b13e4d2e65ebf694384ef4
156,Naturally 7,,https://i.scdn.co/image/ab6761610000e5eb98057dcba2a1bf1a9608d393
157,Mason Jennings,,https://i.scdn.co/image/ab6761610000e5ebe9d0d5c81f48fc9596eefc03
158,Angelique Kidjo,,https://i.scdn.co/image/ab6761610000e5eb27ba0411de30d6ed0bb20c77
159,Tony Bennett,,https://i.scdn.co/image/ab6761610000e5ebcd9641c8b449440a77ee19cc
160,Jonathan Christopher,,
161,"Hank Williams, Jr.",,https://i.scdn.co/image/ab6761610000e5ebf2335981837c8ac955769cd0
162,AndyG,,https://i.scdn.co/image/ab6761610000e5eb7619ac785acce6f99934668a
163,Mavis Staples,,https://i.scdn.co/image/ab6761610000e5ebb83248f35430ef184a037f1e
164,Brandi Johnson,,
165,Matt Redman,,https://i.scdn.co/image/ab6761610000e5eb45c6e51d379ca6d801b3434e
166,Stephen Tewksbury,,
167,Paula Fuga,,https://i.scdn.co/image/ab6761610000e5eb5ed72bd9db95e0a43dcdc386
168,Keith Whitley,,https://i.scdn.co/image/ab6761610000e5eb006482ef0fbbbdc43ef3f874
169,The Rockin' CJB,,https://i.scdn.co/image/ab6761610000e5eb1d5a70c5bbfe87006d52a2e6
170,Andrea Corr,,https://i.scdn.co/image/77997dd628b326229c941dedb9c540c2728e2c79
171,Ellie Holcomb,,https://i.scdn.co/image/ab6761610000e5eb456de4d8f5cabafd97fb1b76
172,Ben Burgess,,https://i.scdn.co/image/ab6761610000e5eb5d93bc5f07f2f4f749251ab7
173,Deep Forest,,https://i.scdn.co/image/ab6761610000e5eb567d5bf08636494fb122f15e
174,Shovels & Rope,,https://i.scdn.co/image/ab6761610000e5eb2783a24f479c76ac6c1f9ea8
175,David Foster,,https://i.scdn.co/image/ab6772690000c46ca182ac0198083642963c7eb6
176,Shane & Shane,,https://i.scdn.co/image/ab6761610000e5eb28f76ed0327b923000fd0a48
177,Leslie Odom Jr.,,https://i.scdn.co/image/ab6761610000e5ebee4e246a6c664dca653bbd2d
178,John Cruz,,https://i.scdn.co/image/ab67616d0000b27372bbc996b01a1c9eadf30b12
179,Brandon Lake,,https://i.scdn.co/image/ab6761610000e5eb8ba23cfe3ff56cc69b68f10e
180,Lil Baby,,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
181,Selena Gomez,,https://i.scdn.co/image/ab6761610000e5eb815e520e3ce7fe210046ba66
182,Jeremy Riddle,,https://i.scdn.co/image/ab6761610000e5eb11ad72822a4fdf1d6b0b267e
183,Jennifer Nettles,,https://i.scdn.co/image/ab6761610000e5ebaf018a2d49a7c11a1bd78130
184,Roddy Ricch,,https://i.scdn.co/image/ab6761610000e5eb88d7900663b237167c4be332
185,Kacey Musgraves,,https://i.scdn.co/image/ab6761610000e5eb81a4837fda8c9e356bfb6252
186,Sierra Ferrell,,https://i.scdn.co/image/ab6761610000e5eb871c90e9904cac69a6c31697
187,Lili Haydn,,https://i.scdn.co/image/ab6761610000e5eb5d55a6221d98d2f6799994ac
188,Carly Pearce,,https://i.scdn.co/image/ab6761610000e5eb090d74269e6ca0d376433cec
189,Paul Simon,,https://i.scdn.co/image/ab6761610000e5ebddc148cfa465c2065846c636
190,Natalie Hemby,,https://i.scdn.co/image/ab6761610000e5ebf5101354ea04075ee4324910
191,Florida Georgia Line,,https://i.scdn.co/image/ab6761610000e5ebaa2d9bd207a62adc3edf6631
192,Sarah McLachlan,,https://i.scdn.co/image/ab6761610000e5eb945445a6b9593ab3b5b49cd6
193,Sweeney Todd 2023 Broadway Company,,https://i.scdn.co/image/ab6761610000e5eb8786281d8541d01dcded440e
194,YG,,https://i.scdn.co/image/ab6761610000e5eb29831a7ff6177ec357478850
195,The Puppini Sisters,,https://i.scdn.co/image/ab6761610000e5ebe173b0ef437845ea152a8e9b
196,Cécile McLorin Salvant,,https://i.scdn.co/image/ab6761610000e5eb49212236490b008bf849071d
197,Andrea Bocelli,,https://i.scdn.co/image/ab6761610000e5ebfb101ed2a035fcfa2bd6fee1
198,G. Love & Special Sauce,,https://i.scdn.co/image/ab6761610000e5ebd2d7599b612b236ea72cbdb8
199,Jelly Roll,,https://i.scdn.co/image/ab6761610000e5eb27901c1c025fa90f5dc007ef
200,Herbie Hancock,,https://i.scdn.co/image/ab6761610000e5ebca17170af02af227d6ea0c31
201,Lizzy McAlpine,,https://i.scdn.co/image/ab6761610000e5eb912df0c93a5dc290d3c8816e
202,Alvin & The Chipmunks,,https://i.scdn.co/image/75447d3644a78f052d46e33f9d9d214017b81ced
203,Maria Bilbao,,
204,Gunna,,https://i.scdn.co/image/ab6761610000e5eba998bc86f87b9fe7e2466110
205,Tate McRae,,https://i.scdn.co/image/ab6761610000e5ebbed8016bd64422793ff3bc75
206,Zach Gill,,https://i.scdn.co/image/ab6761610000e5eb30c8f714082f36f67c9f283a
207,Ron Sexsmith,,https://i.scdn.co/image/ab6761610000e5ebc0f0ff15951e180b34be5c49
208,Stephen Sondheim,,https://i.scdn.co/image/97b2e7b07036ba437d322b38153078d62b1c7390
209,Faith Hill,,https://i.scdn.co/image/ab6761610000e5ebfcf4aca895932122a66211bf
210,Essential Worship,,https://i.scdn.co/image/ab6761610000e5eb9d2740b47534b3e9d56cca38
9,The Lumineers,,https://i.scdn.co/image/ab6761610000e5eb0f882273183345499155d6ed
211,E.A.S.E.,,https://i.scdn.co/image/ab67616d0000b2734f9f3eca701ced7ba6f55eca
212,Jenn Johnson,,https://i.scdn.co/image/ab6761610000e5ebaa43e377d4d95366120f62c8
213,Anne Wilson,,https://i.scdn.co/image/ab6761610000e5eb010f87a994fa47d231429ca4
214,Clara Johnson,,
20,Mumford & Sons,,https://i.scdn.co/image/ab6761610000e5eb00fe341805b27976b4302be0
215,Kristen Stewart,,https://i.scdn.co/image/ab6761610000e5eb40ec8efa0698f1af5c3330d9
216,Rihanna,,https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac
217,The New Respects,,https://i.scdn.co/image/ab6761610000e5eb63af8569fbb499a9fb56e5b7
218,Drew Holcomb,,https://i.scdn.co/image/ab6761610000e5eb8f6c09f71d6a1e758c66d935
219,Daniel Torres,,https://i.scdn.co/image/ab67616d0000b2733c3bff8d4eb78c91a31fc821
220,Gracie Abrams,,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
221,Eddie Vedder,,https://i.scdn.co/image/ab6761610000e5eb98a58862098f8be6496ba9d6
222,James Grundler,,https://i.scdn.co/image/ab67616d0000b273f0214dbcb13b71038e6c1394
10,Vince Guaraldi Trio,,https://i.scdn.co/image/822d7cac5aa9649b2c8a0be5da89567f8b80ca56
223,Scientist,,https://i.scdn.co/image/ab6761610000e5eb64f54dc113bd190038132ccb
